iter	RMSE
162	30.56861701
163	30.54744465
164	30.51287738
165	30.47831336
166	30.4431627
167	30.40272264
168	30.37277801
169	30.33967806
170	30.31234319
171	30.27579878
172	30.24198304
173	30.2182784
174	30.18448818
175	30.1325184
176	30.09841239
177	30.06404727
178	30.02818372
179	29.99000983
180	29.95743942
181	29.93031737
182	29.90232789
183	29.86147582
184	29.84236261
185	29.80941719
186	29.78195606
187	29.76522418
188	29.71221207
189	29.6876292
190	29.64606996
191	29.61576728
192	29.5753238
193	29.54979657
194	29.51784336
195	29.48686949
196	29.46683776
197	29.43933537
198	29.40952439
199	29.36857224
200	29.3492261
201	29.31508484
202	29.29269934
203	29.26950563
204	29.232459
205	29.20173586
206	29.1736753
207	29.13433945
208	29.09850422
209	29.07245337
210	29.03365898
211	29.01123821
212	28.99149737
213	28.96584712
214	28.93435965
215	28.89956525
216	28.87462682
217	28.84337875
218	28.81622781
219	28.79071522
220	28.75586315
221	28.73342893
222	28.7159192
223	28.68651874
224	28.66111686
225	28.6349322
226	28.61523778
227	28.60131296
228	28.57754544
229	28.55569321
230	28.51833426
231	28.48781628
232	28.46818102
233	28.43881837
234	28.42041899
235	28.38883115
236	28.36983504
237	28.34867903
238	28.31973057
239	28.29636652
240	28.27427059
241	28.25105805
242	28.22703697
243	28.20205523
244	28.17517806
245	28.14769346
246	28.12804958
247	28.09660941
248	28.08377959
249	28.0586593
250	28.03525458
251	28.00936593
252	27.98042006
253	27.96568361
254	27.94619316
255	27.92472111
256	27.90541744
257	27.87743373
258	27.84718553
259	27.82467697
260	27.79773694
261	27.77923703
262	27.74994647
263	27.73415714
264	27.71482432
265	27.68369402
266	27.66801201
267	27.64320395
268	27.6147805
269	27.59836198
270	27.58025968
271	27.56402913
272	27.53773096
273	27.51715402
274	27.50062752
275	27.47805929
276	27.46119718
277	27.44152227
278	27.43080645
279	27.41507542
280	27.39444689
281	27.37493953
282	27.35611113
283	27.3241345
284	27.29829922
285	27.27568818
286	27.25336514
287	27.23080786
288	27.21817482
289	27.189978
290	27.16390049
291	27.14790619
292	27.12296432
293	27.10050608
294	27.07712355
295	27.06453457
296	27.04811438
297	27.03398616
298	27.01579644
299	26.99745178
300	26.97935322
301	26.95416691
302	26.93987377
303	26.91876294
304	26.89712763
305	26.88295082
306	26.85881123
307	26.84079015
308	26.82194171
309	26.80268606
310	26.77675681
311	26.76308983
312	26.74024694
313	26.72452516
314	26.70335599
315	26.68451976
316	26.66353708
317	26.64976925
318	26.63025967
319	26.61646499
320	26.60405949
321	26.58400181
322	26.56668141
323	26.55093271
324	26.53318949
325	26.51030569
326	26.49127482
327	26.47509642
328	26.46119686
329	26.43788187
330	26.42092304
331	26.40142453
332	26.38090848
333	26.3640657
334	26.35144498
335	26.32752367
336	26.3066148
337	26.29056643
338	26.27288365
339	26.25535048
340	26.23857827
341	26.22442651
342	26.20811737
343	26.18710238
344	26.1660485
345	26.14912502
346	26.13343156
347	26.11358056
348	26.10346044
349	26.08597674
350	26.07087794
351	26.06185348
352	26.03942949
353	26.02385021
354	25.99832948
355	25.97476745
356	25.96430325
357	25.94640855
358	25.92613777
359	25.90508922
360	25.88920397
361	25.87242352
362	25.85660673
363	25.84042761
364	25.82368856
365	25.81025687
366	25.79262239
367	25.77517603
368	25.75738344
369	25.74759633
370	25.73252353
371	25.72381313
372	25.70011735
373	25.67738785
374	25.66054459
375	25.6456725
376	25.63405483
377	25.62075696
378	25.60721115
379	25.59088823
380	25.57909279
381	25.54949228
382	25.53007642
383	25.51590574
384	25.50837992
385	25.48981768
386	25.46602367
387	25.45114222
388	25.43711999
389	25.42475894
390	25.41359444
391	25.40373275
392	25.39094648
393	25.37568781
394	25.35955384
395	25.34827852
396	25.33869879
397	25.32228247
398	25.30960697
399	25.29620038
400	25.28375554
401	25.2647665
402	25.2556897
403	25.24043825
404	25.22810554
405	25.21093346
406	25.20133947
407	25.17868072
408	25.16216288
409	25.1523547
410	25.13237415
411	25.11849262
412	25.10489931
413	25.08644547
414	25.07385119
415	25.05952366
416	25.04380691
417	25.02626006
418	25.00813052
419	24.98638646
420	24.96668439
421	24.94960507
422	24.93673035
423	24.92297505
424	24.90511988
425	24.89593692
426	24.88453277
427	24.87099318
428	24.85787202
429	24.8420162
430	24.82463713
431	24.80976078
432	24.80137697
433	24.7919081
434	24.77505962
435	24.7646889
436	24.7490864
437	24.73334225
438	24.71985486
439	24.70671465
440	24.69512666
441	24.68588091
442	24.67492748
443	24.65936423
444	24.64570885
445	24.63269217
446	24.61917548
447	24.60827626
448	24.5936612
449	24.58099513
450	24.56899576
451	24.55445016
452	24.54375798
453	24.52613347
454	24.51665713
455	24.50749514
456	24.4989204
457	24.48335122
458	24.46940359
459	24.45989691
460	24.44231409
461	24.43249406
462	24.408476
463	24.39432102
464	24.37751261
465	24.36237008
466	24.34226527
467	24.32656773
468	24.31693449
469	24.3015581
470	24.28285215
471	24.2679278
472	24.25273344
473	24.24146868
474	24.22973386
475	24.21793244
476	24.20561387
477	24.1941153
478	24.18649454
479	24.17484523
480	24.16121958
481	24.14619762
482	24.12952469
483	24.11618001
484	24.11518372
485	24.09680898
486	24.08780868
487	24.07673309
488	24.06262634
489	24.0505419
490	24.03692878
491	24.0239849
492	24.00904397
493	23.99690372
494	23.98072851
495	23.96812318
496	23.95876048
497	23.94909518
498	23.93475312
499	23.91741907
