iter	Passed	Remaining
407	5110	1152
408	5126	1140
409	5140	1128
410	5152	1115
411	5164	1103
412	5175	1090
413	5188	1077
414	5201	1065
415	5217	1053
416	5233	1041
417	5249	1029
418	5264	1017
419	5280	1005
420	5296	993
421	5319	983
422	5340	972
423	5363	961
424	5379	949
425	5392	936
426	5407	924
427	5424	912
428	5439	900
429	5460	888
430	5475	876
431	5490	864
432	5506	852
433	5522	839
434	5537	827
435	5553	815
436	5569	802
437	5584	790
438	5600	778
439	5615	765
440	5630	753
441	5644	740
442	5658	728
443	5673	715
444	5687	702
445	5702	690
446	5719	678
447	5738	666
448	5753	653
449	5769	641
450	5785	628
451	5808	616
452	5830	604
453	5855	593
454	5871	580
455	5885	567
456	5901	555
457	5917	542
458	5933	530
459	5950	517
460	5964	504
461	5980	491
462	5997	479
463	6011	466
464	6026	453
465	6042	440
466	6056	427
467	6070	415
468	6083	402
469	6098	389
470	6113	376
471	6130	363
472	6146	350
473	6161	337
474	6176	325
475	6191	312
476	6206	299
477	6222	286
478	6238	273
479	6252	260
480	6265	247
481	6281	234
482	6294	221
483	6309	208
484	6322	195
485	6337	182
486	6350	169
487	6364	156
488	6378	143
489	6392	130
490	6405	117
491	6420	104
492	6437	91
493	6453	78
494	6471	65
495	6489	52
496	6508	39
497	6523	26
498	6538	13
499	6554	0
